barrio,ambientes,metro_cuadrado,precio
Almagro,4,91,260000
Almagro,4,95,230000
Almagro,5,132,199000
Almagro,5,178,351000
Almagro,6,160,265000
Almagro,3,70,159500
Almagro,4,122,270000
Almagro,2,31,80000
Almagro,1,18,61000
Almagro,2,43,120000
Almagro,3,70,166600
Almagro,3,70,184000
Almagro,3,60,195000
Almagro,3,52,130000
Almagro,2,64,173500
Almagro,2,41,90000
Almagro,2,24,80000
Almagro,1,22,68000
Almagro,2,35,110000
Almagro,2,47,205000
Almagro,2,40,90000
Almagro,2,35,90000
Almagro,3,67,164800
Almagro,3,63,168000
Almagro,3,46,148000
Almagro,3,35,99000
Almagro,3,35,99000
Almagro,3,65,160000
Almagro,4,70,195000
Almagro,4,124,219000
Almagro,4,54,144000
Almagro,4,89,290000
Almagro,4,79,189000
Almagro,5,97,267000
Almagro,2,30,83000
Almagro,2,48,167500
Almagro,2,45,159000
Almagro,3,69,212000
Almagro,3,65,162000
Almagro,3,110,185000
Almagro,3,68,215000
Almagro,3,82,249000
Almagro,3,49,143000
Almagro,4,377,549000
Almagro,4,94,270000
Almagro,4,108,265000
Almagro,5,104,329000
Almagro,2,30,59900
Almagro,2,42,105000
Almagro,2,46,155000
Almagro,2,40,90000
Almagro,2,27,71500
Almagro,2,60,150000
Almagro,2,33,94000
Almagro,2,39,90000
Almagro,2,40,83000
Almagro,2,48,159500
Almagro,2,47,205000
Almagro,2,39,95000
Almagro,2,48,164500
Almagro,2,48,155000
Almagro,2,35,110000
Almagro,2,47,137000
Almagro,2,46,200000
Almagro,2,40,94500
Almagro,2,48,167500
Almagro,2,30,83000
Almagro,2,40,109000
Almagro,2,35,95000
Almagro,2,48,156500
Almagro,2,24,80000
Almagro,2,40,109000
Almagro,2,42,98000
Almagro,2,56,160000
Almagro,2,33,88000
Almagro,2,44,168000
Almagro,2,32,80000
Almagro,2,48,161000
Almagro,2,35,90000
Almagro,2,43,120000
Almagro,2,45,101000
Almagro,2,48,162500
Almagro,2,41,97000
Almagro,2,39,95000
Almagro,2,48,158000
Almagro,2,58,190000
Almagro,2,32,85000
Almagro,2,48,166000
Almagro,2,48,165000
Almagro,3,56,145000
Almagro,3,165,420000
Almagro,3,70,160000
Almagro,3,46,148000
Almagro,3,70,321000
Almagro,3,49,153000
Almagro,3,35,95000
Almagro,3,55,125000
Almagro,3,73,209000
Almagro,3,68,215000
Almagro,3,70,184000
Almagro,3,52,135000
Almagro,3,52,135000
Almagro,3,35,95000
Almagro,3,46,119500
Almagro,3,84,199000
Almagro,3,63,200000
Almagro,3,35,95000
Almagro,3,60,215000
Almagro,3,65,190000
Almagro,3,65,160000
Almagro,3,60,220000
Almagro,3,45,115000
Almagro,3,60,10800
Almagro,3,35,95000
Almagro,3,70,174600
Almagro,3,73,209000
Almagro,3,53,153000
Almagro,3,61,133000
Almagro,3,49,135000
Almagro,3,52,137000
Almagro,3,70,170000
Almagro,3,90,225000
Almagro,3,50,139500
Almagro,3,45,110000
Almagro,3,68,215000
Almagro,4,120,280000
Almagro,4,124,215000
Almagro,4,377,510000
Almagro,5,70,219999
Almagro,4,87,220000
Almagro,4,92,261000
Almagro,4,70,184000
Almagro,4,90,250000
Almagro,4,124,215000
Almagro,4,67,172000
Almagro,4,123,340000
Almagro,4,118,350000
Almagro,4,92,261000
Almagro,4,54,144000
Almagro,4,79,189000
Almagro,4,89,290000
Almagro,4,95,198000
Almagro,4,90,230000
Almagro,4,95,230000
Almagro,4,106,400000
Almagro,4,118,268000
Almagro,4,122,169000
Almagro,5,198,320000
Almagro,5,107,200000
Almagro,5,95,178000
Almagro,5,95,178000
Almagro,5,104,329000
Almagro,6,116,210000
Almagro,3,120,200000
Almagro,3,54,120000
Almagro,3,62,155000
Almagro,3,82,165000
Almagro,2,45,145000
Almagro,2,30,83000
Almagro,2,32,99000
Almagro,2,44,105000
Almagro,2,48,167500
Almagro,2,40,99500
Almagro,2,65,155000
Almagro,2,40,115000
Almagro,2,50,143000
Almagro,2,65,155000
Almagro,2,44,105000
Almagro,3,40,149500
Almagro,3,83,290000
Almagro,3,70,140000
Almagro,3,48,135000
Almagro,3,60,221900
Almagro,3,82,249000
Almagro,3,50,110000
Almagro,3,57,185000
Almagro,3,110,160000
Almagro,3,35,105000
Almagro,3,89,195000
Almagro,3,68,215000
Almagro,3,55,125000
Almagro,3,49,143000
Almagro,3,77,173000
Almagro,4,102,255000
Almagro,4,125,225000
Almagro,4,377,549000
Almagro,4,101,250000
Almagro,4,108,265000
Almagro,4,70,185000
Almagro,5,104,329000
Almagro,8,,1900000
Almagro,2,38,95000
Almagro,3,50,140000
Almagro,2,45,101000
Almagro,2,41,97000
Almagro,2,47,137000
Almagro,3,60,195000
Almagro,3,57,147000
Almagro,3,66,175000
Almagro,3,49,153000
Almagro,3,72,177000
Almagro,3,73,220000
Almagro,3,58,88000
Almagro,3,50,145000
Almagro,4,124,219000
Almagro,4,72,159900
Almagro,4,75,170000
Almagro,1,26,65000
Almagro,1,29,69500
Almagro,1,33,87600
Almagro,1,37,94000
Almagro,2,51,155000
Almagro,3,59,195000
Almagro,3,57,208000
Almagro,3,59,230000
Almagro,3,67,156000
Almagro,3,79,148000
Almagro,3,63,148000
Almagro,4,68,168000
Almagro,4,105,205000
Almagro,5,55,163000
Almagro,2,37,87000
Almagro,1,36,130000
Almagro,2,44,119000
Almagro,3,60,180000
Almagro,3,85,198000
